Country,"Track Identifier","Media type","Date Played",Hours,"Play Duration Milliseconds","End Reason Type","Source Type","Play Count","Skip Count","Ignore For Recommendations","Track Reference","Track Description"
France,1126755657,AUDIO,20170928,21,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,4,false,1126755657,"Pompis - An sèl"
France,1126755657,AUDIO,20171003,15,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,3,false,1126755657,"Pompis - An sèl"
France,1126755657,AUDIO,20190920,7,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,16,false,1126755657,"Pompis - An sèl"
France,1368043667,AUDIO,20200920,13,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,N/A,Nostalgie
France,1557227142,AUDIO,20210812,22,241453,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1557227142,"SUPER JUNIOR - House Party"
France,1551739806,AUDIO,20210812,22,213000,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1551739806,"SEVENTEEN - 247"
France,1569754009,AUDIO,20210812,22,202762,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1569754009,"TOMORROW X TOGETHER - Ice Cream"
France,1569754000,AUDIO,20210812,22,202204,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1569754000,"TOMORROW X TOGETHER - 0X1=LOVESONG (I Know I Love You) [feat. Seori]"
France,1551739807,AUDIO,20210812,22,202053,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1551739807,"SEVENTEEN - Second Life"
France,1551735997,AUDIO,20210812,22,192893,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1551735997,"SEVENTEEN - Kidult"
France,1569754017,AUDIO,20210812,22,186076,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1569754017,"TOMORROW X TOGETHER - No Rules"
France,1445949267,AUDIO,20210812,21,158040,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1445949267,"Post Malone & Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse)"
France,1533455296,AUDIO,20210812,18,86688,PLAYBACK_MANUALLY_PAUSED,IPHONE,1,0,false,1533455296,"TOMORROW X TOGETHER - We Lost The Summer"
France,1535649373,AUDIO,20210812,18,61343,PLAYBACK_MANUALLY_PAUSED,IPHONE,1,0,false,1535649373,"SEVENTEEN - HOME;RUN"
France,1517969555,AUDIO,20210812,21,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1517969555,"BTS - Stay Gold"
France,1551735845,AUDIO,20210812,22,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1551735845,"SEVENTEEN - My My"
France,1509611963,AUDIO,20210812,22,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1509611963,"Stray Kids - TOP (Japanese Version)"
France,1430131247,AUDIO,20210812,22,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1430131247,"BTS - Serendipity (Full Length Edition)"
France,1430130338,AUDIO,20210813,22,309371,PLAYBACK_MANUALLY_PAUSED,IPHONE,1,0,false,1430130338,"BTS - Euphoria"
France,1447412295,AUDIO,20210813,20,272789,NATURAL_END_OF_TRACK,IPHONE,2,1,false,1447412295,"Kirk Franklin - Love Theory"
France,1499290878,AUDIO,20210813,19,261543,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1499290878,"BTS - We are Bulletproof : the Eternal"
France,1540648176,AUDIO,20210813,19,254950,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1540648176,"BTS - Blue & Grey"
France,1499290866,AUDIO,20210813,19,250296,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1499290866,"BTS - 00:00 (Zero O’Clock)"
France,1551736000,AUDIO,20210813,20,244400,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1551736000,"SEVENTEEN - Together"
France,1529573311,AUDIO,20210813,22,244360,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1529573311,"SUPER JUNIOR-D&E - To you, Tomorrow"
France,1495759166,AUDIO,20210813,20,243267,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1495759166,"SUPER JUNIOR - BLUE"
France,1529573312,AUDIO,20210813,19,235893,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1529573312,"SUPER JUNIOR-D&E - Change"
France,1458938386,AUDIO,20210813,19,234178,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1458938386,"BTS - HOME"
France,1430135342,AUDIO,20210813,21,232966,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1430135342,"BTS - Anpanman"
France,1571363159,AUDIO,20210813,20,232227,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1571363159,"SEVENTEEN - Heaven's Cloud"
France,1454729760,AUDIO,20210813,21,230709,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1454729760,"TOMORROW X TOGETHER - CROWN"
