"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2024-09-09T13:27:48.768Z,N/A,N/A,"MAX - Blueberry Eyes (feat. SUGA of BTS)",false,France,N/A,1524457759,"library / songs",2024-09-09T13:27:48.768Z,PLAYBACK_MANUALLY_PAUSED,2024-09-09T13:27:52.752Z,2024-09-09T13:27:52.827Z,2024-09-09T13:27:48.768Z,3984,3984,172244,AUDIO,0,1,0,3984
2024-09-09T13:24:13.808Z,N/A,N/A,"ZEROBASEONE - Take My Hand",false,France,N/A,1713539300,"library / songs",2024-09-09T13:24:13.808Z,NATURAL_END_OF_TRACK,2024-09-09T13:27:48.906Z,2024-09-09T13:27:49.007Z,2024-09-09T13:24:13.808Z,215098,215098,215098,AUDIO,0,1,0,215098
2024-09-09T13:20:35.907Z,N/A,N/A,"BTS - Blood Sweat & Tears",false,France,N/A,1627574672,"library / songs",2024-09-09T13:20:35.907Z,NATURAL_END_OF_TRACK,2024-09-09T13:24:13.006Z,2024-09-09T13:24:13.077Z,2024-09-09T13:20:35.907Z,217099,217099,217099,AUDIO,0,1,0,217099
2024-09-09T13:16:39.698Z,N/A,N/A,"SUPER JUNIOR-D&E - Change",false,France,N/A,1529573312,"library / songs",2024-09-09T13:16:39.698Z,NATURAL_END_OF_TRACK,2024-09-09T13:20:35.591Z,2024-09-09T13:20:35.752Z,2024-09-09T13:16:39.698Z,235893,235893,235893,AUDIO,0,1,0,235893
2024-09-09T13:13:13.006Z,N/A,N/A,"TWICE - LOVE WARNING",false,France,N/A,1754339149,"library / songs",2024-09-09T13:13:13.006Z,NATURAL_END_OF_TRACK,2024-09-09T13:16:39.256Z,2024-09-09T13:16:39.371Z,2024-09-09T13:13:13.006Z,206250,206250,206250,AUDIO,0,1,0,206250
2024-09-09T13:09:55.256Z,N/A,N/A,"BTS - Singularity",false,France,N/A,1627577161,"library / songs",2024-09-09T13:09:55.256Z,NATURAL_END_OF_TRACK,2024-09-09T13:13:12.306Z,2024-09-09T13:09:56.866Z,2024-09-09T13:09:55.523Z,197050,197050,197050,AUDIO,0,2,0,197050
2024-09-09T13:04:14.221Z,N/A,N/A,"BTS - Boy With Luv (feat. Halsey)",false,France,N/A,1599362618,"library / songs",2024-09-09T13:04:14.221Z,SCRUB_BEGIN,2024-09-09T13:07:35.233Z,2024-09-09T13:09:56.583Z,2024-09-09T13:07:31.490Z,58496,58496,229821,AUDIO,0,1,0,62239
2024-09-09T13:01:03.230Z,N/A,N/A,"Red Velvet - La Rouge (Special Track)",false,France,N/A,1491888607,"library / songs",2024-09-09T13:01:03.230Z,NATURAL_END_OF_TRACK,2024-09-09T13:04:13.043Z,2024-09-09T13:01:03.538Z,2024-09-09T13:01:03.485Z,189813,189813,189813,AUDIO,0,2,0,189813
2024-09-09T12:57:40.806Z,N/A,N/A,"Popcaan - Level Up",false,France,N/A,1457254817,"library / songs",2024-09-09T12:57:40.806Z,NATURAL_END_OF_TRACK,2024-09-09T13:01:03.472Z,2024-09-09T13:01:03.538Z,2024-09-09T12:57:40.806Z,202666,202666,202666,AUDIO,0,1,0,202666
2024-09-09T12:54:06.423Z,N/A,N/A,"TWICE - Catch a Wave",false,France,N/A,1686024825,"library / songs",2024-09-09T12:54:06.423Z,NATURAL_END_OF_TRACK,2024-09-09T12:57:40.268Z,2024-09-09T12:57:40.373Z,2024-09-09T12:54:06.423Z,213845,213845,213845,AUDIO,0,1,0,213845
2024-09-09T12:51:54.049Z,N/A,N/A,"NCT U - New Axis",false,France,N/A,1597697600,"library / songs",2024-09-09T12:51:54.049Z,NATURAL_END_OF_TRACK,2024-09-09T12:54:05.995Z,2024-09-09T12:54:06.359Z,2024-09-09T12:51:54.049Z,131946,131946,131946,AUDIO,0,1,0,131946
2024-09-09T12:49:19.190Z,N/A,N/A,"DKB - Traveler",false,France,N/A,1756875593,"library / songs",2024-09-09T12:49:19.190Z,NATURAL_END_OF_TRACK,2024-09-09T12:51:53.870Z,2024-09-09T12:49:19.607Z,2024-09-09T12:49:19.336Z,154680,154680,154680,AUDIO,0,2,0,154680
2024-09-09T12:45:17.747Z,N/A,N/A,"TOMORROW X TOGETHER - Our Summer",false,France,N/A,1553524114,"library / songs",2024-09-09T12:45:17.747Z,NATURAL_END_OF_TRACK,2024-09-09T12:49:19.414Z,2024-09-09T12:49:19.482Z,2024-09-09T12:48:05.927Z,210280,136793,210280,AUDIO,0,1,0,210280
2024-09-09T12:42:40.785Z,N/A,N/A,"ZEROBASEONE - Eternity",false,France,N/A,1762581540,"library / songs",2024-09-09T12:42:40.785Z,NATURAL_END_OF_TRACK,2024-09-09T12:45:17.517Z,2024-09-09T12:45:17.619Z,2024-09-09T12:42:40.785Z,156732,156732,156732,AUDIO,0,1,0,156732
2024-09-09T12:39:11.167Z,N/A,N/A,"TOMORROW X TOGETHER - Blue Hour",false,France,N/A,1533455293,"library / songs",2024-09-09T12:39:11.167Z,NATURAL_END_OF_TRACK,2024-09-09T12:42:40.272Z,2024-09-09T12:42:40.434Z,2024-09-09T12:39:11.167Z,209105,209105,209105,AUDIO,0,1,0,209105
2024-09-09T12:35:45.243Z,N/A,N/A,"SEVENTEEN - God of Music",false,France,N/A,1711288969,"library / songs",2024-09-09T12:35:45.243Z,NATURAL_END_OF_TRACK,2024-09-09T12:39:10.460Z,2024-09-09T12:35:45.985Z,2024-09-09T12:35:45.920Z,205217,205217,205217,AUDIO,0,2,0,205217
2024-09-09T12:32:24.661Z,N/A,N/A,"BTS - Jamais Vu",false,France,N/A,1599362633,"library / songs",2024-09-09T12:32:24.661Z,NATURAL_END_OF_TRACK,2024-09-09T12:35:45.907Z,2024-09-09T12:35:45.985Z,2024-09-09T12:32:33.429Z,227354,192478,227354,AUDIO,34876,1,0,192480
